Username,Comment,Rating,Time,IdProduct
alicefire,"Màu đẹp quá à. Giá rẻ mà cũng khá xịn xò. Mua về cho mẹ dùng, mẹ thích lắm",5,2021-01-06 19:31:12,3355289986
locfci,Hình ảnh không liên quan . mua lần 2 máy dùng tốt nhưng không hiểu về hệ điều hành năm cho 5sao lần sau có dịp lại ủng hộ,5,2021-01-08 18:55:51,3355289986
tienvu12,Điện thoại đẹp luôn xin sò luôn. Ae nào mua thìua đi đẹp luôn xin sò luôn. Ae nào mua thìua đi,5,2021-01-17 23:22:45,3355289986
t*****g,Rất ok sài mướt. Màu camera tươi đẹp. Mình mua cho ngoại đọc báo rất ok,5,2021-01-19 06:20:11,3355289986
m*****1,hhhsnsnsnns nhà hdnxnnxnnxnncncncnn hsjsnznnnxxjxxnnnxhxjnxnnxnxnnxnnxn hdnxnnxnnxnncncncnn hsjsnznnnxxjxxnnnxhxjnxnnxnxnnxnnxn hdnxnnxnnxnncncncnn hsjsnznnnxxjxxnnnxhxjnxnnxnxnnxnnxn hdnxnnxnnxnncncncnn hsjsnznnnxxjxxnnnxhxjnxnnxnxnnxnnxn hdnxnnxnnxnncncncnn hsjsnznnnxxjxxnnnxhxjnxnnxnxnnxnnxn hdnx,5,2021-01-08 10:55:59,3355289986
h*****t,Dfhjbvxssfh vfsstjnbb cddsfiiewgbb chjfswtikb cfdhn vdfh,5,2021-01-06 16:22:46,3355289986
thuyhanhhuynh,"Hàng mới nguyên hộp shop đóng gói cẩn thận, rất ưng ý cho shop 5sao",5,2020-12-30 10:24:49,3355289986
ngocho0159,"Giao hàng nhanh, đóng gói kĩ lưỡng",5,2020-12-26 12:24:21,3355289986
liendoandilinh,Đt ổn nhưng cắm tai nghe thì nghe nhỏ xíu hà. Tức là đt mới nhưng lỗ cắm tai nghe đã failed.,5,2020-12-27 18:12:01,3355289986
hunghung03,"Chất lượng camera không được như mong muốn, hơi buồn, tại mua online nên cũng ko test được, nên thất vọng tý",4,2020-12-29 16:23:18,3355289986
m*****8,Giao hàng thì phải gọi là siêu nhanh anh shipper cũng đáng yêu nhắm đóng gói sản phẩm chắc chắn rất tuyệt zời!!! Rẻ hơn so với mua ở TGDD,5,2020-12-14 22:12:37,3355289986
m*****5,"Shop Gói hàng siêu cẩn thận, bọc chống sốc rồi còn chèn xốp xung quanh, cảm quan nhìn thì chuẩn tiêu chí Ngon bổ rẻ, chất lượng phải chờ time mới đáng giá 9 xác đc. ",5,2020-12-24 18:15:21,3355289986
b*****9,Mới nhận được điện thoại.màu đẹp.dễ sử dụng.mới xem sơ qua thì giống quảng cáo.còn bền hay k pải sử dụng mới đánh giá tiếp được,5,2020-12-04 12:38:57,3355289986
anbinh1980,"Giao rất nhanh, đóng gói đẹp, cẩn thận, máy mới 💯, tặng ốp lưng, đầy đủ, mình mua hàng của shop tổng cộng 5 máy rồi đấy.... Nên chất lượng và uy tín miễn bàn....😍",5,2020-12-25 12:10:40,3355289986
nhi1592000,"Okkkkk nha, chỉ có một điểm không hài lòng là camera chụp mờ quá ",5,2021-01-06 17:55:58,3355289986
phung_nam_phong,"Đóng gói cẩn thận, hàng mới nguyên siu hãng, đúng màu đặt hàng",5,2021-01-03 23:29:50,3355289986
caophuc263,"Máy nguyên seal hộp, shop đóng gói cẩn thận. Máy khá đẹp và ok với tầm giá, tóm lại nên mua",5,2021-01-02 16:58:57,3355289986
n*****7,"Mình mua tặng mẹ nên với cấu hình và tầm giá như này thì cũng khá ok cho người trung niên dùng
Đt đẹp, giá tốt, hơn nửa tháng xài đến giờ vẫn ổn",5,2020-12-30 22:20:51,3355289986
loan4z,Gsjskdjdnrnjrkrnrnrnrntntnntntntntbrdjxjjxgsfsagjeidjrbdb,5,2020-12-06 10:11:47,3355289986
buihoangga123,"Lần đầu đặt đồ công nghệ trên mạng, thực sự là một trải nghiệm mới rất hay. Hàng của Vivo shop thì uy tín thôi rồi khỏi nói luôn. Chắc sang năm lên đời từ Y30i lên con ngon hơn 🤣",5,2020-11-19 09:57:17,3355289986
ngocphuongbaophongbaophu,"Hàng ổn Vừa phải với giá tiền. Cảm ứng tạm ổn chưa nhậy lắm
Nói chung xài cũng thích",5,2020-12-18 19:58:41,3355289986
sochu26.10,Hàng đẹp y hình chất lượng thấy đánh giá shop cao rồi nên mới mua,5,2020-12-21 18:26:51,3355289986
quynhquyh,"sp chất lượng 
giao hàng nhandufng thêm tg nữa sẽ rewveiw tiếp
bbnnnm",5,2020-12-16 14:46:38,3355289986
donghuong116,"Bọc hàng cực kỳ kỹ và cẩn thận. Tuy giao hàng hơi lâu nhưng sản phẩm thật tuyệt vời nên mình không phàn nàn. Nguyên tem, đủ phụ kiện. Máy chạy cũng khá mượt. Mua đợt sale nên giá tầm 3 triệu là khá ngon rồi. Cảm ơn shop ạ.",5,2020-12-04 10:59:49,3355289986
n*****x,Máy ngon trong tầm giá. Uy tính và chất lượng...giao hàng tương đối nhanh. 5 sao,5,2020-12-16 14:22:54,3355289986
hoangphan2309,Hang nguyen hop nha. Shop ban uy tin nha mn dung lo so nha. Okokok,5,2020-12-16 09:58:07,3355289986
vanchatbn,Anh ko nien quan hang depchat luong ok gia ca hop ly se ung ho sho nhieu cho 5 sao,5,2020-12-14 18:35:13,3355289986
wolfie.tshirt,Màu máy đẹp. Test máy sơ cũng ổn. Mong bền tốt dài lâu........,5,2020-12-13 22:27:56,3355289986
